"filename", "language", "Vue.js", "JavaScript", "Markdown", "JSON", "SCSS", "CSS", "HTML", "XML", "Less", "Pug", "comment", "blank", "total"
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\storage\Datacenter_Server_Rack_ToR.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 1, 164
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\storage\Datacenter_Server_Storage_Unit_Large.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 1, 145
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Industrial_Ethernet_IE200.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 198, 0, 0, 0, 1, 199
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Industrial_Ethernet_IE200_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 1, 235
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Industrial_Ethernet_IE300.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 477, 0, 0, 0, 1, 478
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Modular_Switch_SBx8106.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 1, 130
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Modular_Switch_SBx8112.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 1, 152
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Modular_Switch_SXx908GEN2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 1, 175
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_24_port_L2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_24_port_L2_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 55
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_24_port_L3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_24_port_L3_Alternative.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 1, 69
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_24_port_L3_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 1, 58
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_48_port_L2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 66
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_48_port_L2_POE.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 1, 62
"d:\muyuan\my-iot-platform-frontend\public\usr-draw\static\img\lib\allied_telesis\switch\Switch_48_port_L3.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 1, 71
